Site,Date,Observer,Transect,Heading,Quad,Taxa,Size.mm 
Harris,8/3/16,LB,1,120,1,Strongylocentrotus droebachiensis,27
Harris,8/3/16,LB,1,120,1,Margarites,6
Harris,8/3/16,LB,1,120,1,Keyhole.limpet,14
Harris,8/3/16,LB,1,120,1,Keyhole.limpet,7
Harris,8/3/16,LB,1,120,1,Keyhole.limpet,10
Harris,8/3/16,LB,1,120,1,Keyhole.limpet,6
Harris,8/3/16,LB,1,120,1,Chiton,19
Harris,8/3/16,LB,1,120,1,Chiton,19
Harris,8/3/16,LB,1,120,1,Chiton,16
Harris,8/3/16,LB,1,120,1,Calliostoma.ligatum,11
Harris,8/3/16,LB,1,120,1,Calliostoma.ligatum,10
Harris,8/3/16,LB,1,120,1,Calliostoma.ligatum,13
Harris,8/3/16,LB,1,120,2,Margarites,10
Harris,8/3/16,LB,1,120,2,Keyhole.limpet,21
Harris,8/3/16,LB,1,120,2,Keyhole.limpet,12
Harris,8/3/16,LB,1,120,2,Keyhole.limpet,8
Harris,8/3/16,LB,1,120,3,Tegula brunnea,27
Harris,8/3/16,LB,1,120,3,Tegula brunnea,24
Harris,8/3/16,LB,1,120,3,Tegula brunnea,26
Harris,8/3/16,LB,1,120,3,Tegula pulligo,16
Harris,8/3/16,LB,1,120,3,Margarites,11
Harris,8/3/16,LB,1,120,3,Keyhole.limpet,13
Harris,8/3/16,LB,1,120,3,Chiton,19
Harris,8/3/16,LB,1,120,4,Strongylocentrotus droebachiensis,29
Harris,8/3/16,LB,1,120,4,Margarites,8
Harris,8/3/16,LB,1,120,4,Keyhole.limpet,19
Harris,8/3/16,LB,1,120,4,Keyhole.limpet,9
Harris,8/3/16,LB,1,120,4,Keyhole.limpet,8
Harris,8/3/16,LB,1,120,4,Keyhole.limpet,10
Harris,8/3/16,LB,1,120,4,Keyhole.limpet,10
Harris,8/3/16,LB,1,120,4,Acmaea.mitra,12
Harris,8/3/16,LB,1,120,4,Acmaea.mitra,12
Harris,8/3/16,LB,1,120,4,Chiton,25
Harris,8/3/16,LB,1,120,4,Chiton,14
Harris,8/3/16,LB,1,120,4,Chiton,10
Harris,8/3/16,LB,1,120,4,Calliostoma.ligatum,10
Harris,8/3/16,LB,1,120,5,Strongylocentrotus droebachiensis,24
Harris,8/3/16,LB,1,120,5,Tegula pulligo,14
Harris,8/3/16,LB,1,120,5,Tegula pulligo,12
Harris,8/3/16,LB,1,120,5,Tegula pulligo,9
Harris,8/3/16,LB,1,120,5,Tegula pulligo,10
Harris,8/3/16,LB,1,120,5,Acmaea.mitra,11
Harris,8/3/16,LB,1,120,5,Chiton,22
Harris,8/3/16,LB,1,120,5,Calliostoma.ligatum,14
Harris,8/3/16,LB,1,120,5,Strongylocentrotus franciscanus,42
Harris,8/3/16,LB,1,120,6,Strongylocentrotus droebachiensis,17
Harris,8/3/16,LB,1,120,6,Tegula pulligo,19
Harris,8/3/16,LB,1,120,6,Tegula pulligo,18
Harris,8/3/16,LB,1,120,6,Tegula pulligo,11
Harris,8/3/16,LB,1,120,6,Margarites,7
Harris,8/3/16,LB,1,120,6,Margarites,6
Harris,8/3/16,LB,1,120,6,Keyhole.limpet,10
Harris,8/3/16,LB,1,120,6,Keyhole.limpet,10
Harris,8/3/16,LB,1,120,6,Keyhole.limpet,16
Harris,8/3/16,LB,1,120,6,Keyhole.limpet,9
Harris,8/3/16,LB,1,120,6,Acmaea.mitra,16
Harris,8/3/16,LB,1,120,6,Acmaea.mitra,15
Harris,8/3/16,LB,1,120,6,Acmaea.mitra,11
Harris,8/3/16,LB,1,120,6,Calliostoma.ligatum,15
Harris,8/3/16,LB,1,120,6,Calliostoma.ligatum,8
Harris,8/3/16,LB,1,120,7,Strongylocentrotus droebachiensis,2
Harris,8/3/16,LB,1,120,7,Acmaea.mitra,13
Harris,8/3/16,LB,1,120,7,Acmaea.mitra,14
Harris,8/3/16,LB,1,120,7,Acmaea.mitra,18
Harris,8/3/16,LB,1,120,8,Tegula brunnea,26
Harris,8/3/16,LB,1,120,8,Margarites,7
Harris,8/3/16,LB,1,120,8,Acmaea.mitra,12
Harris,8/3/16,LB,1,120,8,Acmaea.mitra,13
Harris,8/3/16,LB,1,120,8,Pinto.abalone,7
Harris,8/3/16,LB,1,120,9,Strongylocentrotus droebachiensis,4
Harris,8/3/16,LB,1,120,9,Tegula pulligo,18
Harris,8/3/16,LB,1,120,9,Tegula pulligo,17
Harris,8/3/16,LB,1,120,9,Tegula pulligo,13
Harris,8/3/16,LB,1,120,9,Tegula pulligo,19
Harris,8/3/16,LB,1,120,9,Tegula pulligo,15
Harris,8/3/16,LB,1,120,9,Tegula pulligo,1
Harris,8/3/16,LB,1,120,9,Tegula pulligo,5
Harris,8/3/16,LB,1,120,9,Tegula pulligo,17
